txn_id,account_no,amount,status,date,city,branch_name,product
T3000,24264,7576.19,failed,2025-05-01,bangalore,branch1,Insurance
T3001,78665,9419.69,failed,2025-05-02,bangalore,branch1,Insurance
T3002,75167,283.1,failed,2025-05-01,bangalore,branch1,Insurance
T3003,59999,2821.16,success,2025-05-07,bangalore,branch1,Loan
T3004,62697,6470.98,failed,2025-05-04,bangalore,branch1,Loan
T3005,35481,6012.86,success,2025-05-06,bangalore,branch1,Mutual Fund
T3006,82802,598.83,success,2025-05-07,bangalore,branch1,Insurance
T3007,51406,5499.56,success,2025-05-03,bangalore,branch1,Insurance
T3008,79210,9026.66,failed,2025-05-03,bangalore,branch1,Loan
T3009,41103,6516.55,failed,2025-05-04,bangalore,branch1,Mutual Fund
T3010,15345,5373.7,failed,2025-05-02,bangalore,branch1,Savings
T3011,85151,9956.43,failed,2025-05-03,bangalore,branch1,Loan
T3012,46564,6610.7,failed,2025-05-01,bangalore,branch1,Mutual Fund
T3013,31111,8425.59,failed,2025-05-03,bangalore,branch1,Loan
T3014,28115,5322.13,failed,2025-05-02,bangalore,branch1,Insurance
T3015,14368,2942.4,success,2025-05-02,bangalore,branch1,Savings
T3016,28186,6215.84,success,2025-05-07,bangalore,branch1,Insurance
T3017,37583,2254.26,success,2025-05-04,bangalore,branch1,Loan
T3018,63548,9705.89,success,2025-05-04,bangalore,branch1,Loan
T3019,41891,4249.55,failed,2025-05-07,bangalore,branch1,Savings
T3020,10699,3069.79,failed,2025-05-06,bangalore,branch1,Mutual Fund
T3021,14473,1648.42,failed,2025-05-01,bangalore,branch1,Loan
T3022,43556,936.09,success,2025-05-07,bangalore,branch1,Insurance
T3023,63712,875.75,failed,2025-05-01,bangalore,branch1,Insurance
T3024,30506,9570.89,failed,2025-05-06,bangalore,branch1,Savings
T3025,19217,4073.16,failed,2025-05-01,bangalore,branch1,Savings
T3026,21217,6678.66,success,2025-05-03,bangalore,branch1,Loan
T3027,85356,7613.36,failed,2025-05-06,bangalore,branch1,Mutual Fund
T3028,17447,639.6,failed,2025-05-02,bangalore,branch1,Savings
T3029,45691,1757.99,success,2025-05-06,bangalore,branch1,Insurance
T3030,89950,5136.02,failed,2025-05-06,bangalore,branch1,Mutual Fund
T3031,88117,4017.66,failed,2025-05-07,bangalore,branch1,Savings
T3032,84484,3065.62,failed,2025-05-06,bangalore,branch1,Insurance
T3033,38245,6841.57,success,2025-05-05,bangalore,branch1,Insurance
T3034,39564,8753.97,failed,2025-05-02,bangalore,branch1,Insurance
T3035,62758,8907.03,success,2025-05-07,bangalore,branch1,Loan
T3036,42669,5542.68,failed,2025-05-04,bangalore,branch1,Mutual Fund
T3037,11133,2077.24,failed,2025-05-05,bangalore,branch1,Mutual Fund
T3038,27925,163.94,success,2025-05-02,bangalore,branch1,Mutual Fund
T3039,63379,878.34,success,2025-05-04,bangalore,branch1,Loan
T3040,36854,4068.79,failed,2025-05-01,bangalore,branch1,Loan
T3041,80840,3104.1,success,2025-05-07,bangalore,branch1,Savings
T3042,71619,3284.11,success,2025-05-06,bangalore,branch1,Loan
T3043,59848,3917.95,failed,2025-05-04,bangalore,branch1,Savings
T3044,64520,5362.11,success,2025-05-05,bangalore,branch1,Insurance
T3045,69073,5430.61,failed,2025-05-03,bangalore,branch1,Savings
T3046,47875,9484.68,success,2025-05-07,bangalore,branch1,Insurance
T3047,31440,5692.64,failed,2025-05-04,bangalore,branch1,Mutual Fund
T3048,11948,2482.81,success,2025-05-05,bangalore,branch1,Mutual Fund
T3049,64105,2129.62,success,2025-05-03,bangalore,branch1,Mutual Fund
T3050,21540,9012.03,failed,2025-05-02,bangalore,branch1,Loan
T3051,98860,2875.11,failed,2025-05-01,bangalore,branch1,Mutual Fund
T3052,55134,5324.68,failed,2025-05-02,bangalore,branch1,Loan
T3053,93926,6670.78,success,2025-05-05,bangalore,branch1,Savings
T3054,82259,3546.93,failed,2025-05-04,bangalore,branch1,Loan
T3055,73389,388.6,success,2025-05-03,bangalore,branch1,Mutual Fund
T3056,66799,6803.61,failed,2025-05-07,bangalore,branch1,Insurance
T3057,67129,2185.99,failed,2025-05-07,bangalore,branch1,Mutual Fund
T3058,34603,5670.67,success,2025-05-07,bangalore,branch1,Mutual Fund
T3059,26125,1580.43,failed,2025-05-05,bangalore,branch1,Mutual Fund
T3060,86496,7305.14,failed,2025-05-06,bangalore,branch1,Mutual Fund
T3061,49829,7098.87,failed,2025-05-02,bangalore,branch1,Insurance
T3062,61722,4513.76,success,2025-05-02,bangalore,branch1,Loan
T3063,76187,4653.72,success,2025-05-06,bangalore,branch1,Mutual Fund
T3064,59729,4767.24,success,2025-05-06,bangalore,branch1,Insurance
T3065,62138,3486.04,failed,2025-05-03,bangalore,branch1,Insurance
T3066,24639,7690.32,success,2025-05-05,bangalore,branch1,Savings
